type,ts,user,text
message,2023-09-26 05:32:23.017599232,U05TG4W1YUF,Nikhil Kumar joined Slack — take a second to say hello.
message,2023-09-27 05:00:54.970499072,U05TQLV3ZC4,<@U05TG4W1YUF> <@U05TZ4E0G5A> - Are we meeting at 10? 
message,2023-09-27 05:01:27.891899136,U05TG4W1YUF,I am available 
message,2023-09-27 05:03:15.607619072,USLACKBOT,
message,2023-09-28 05:14:10.029928960,U05TG4W1YUF,Can we get on a call?
message,2023-09-28 05:21:11.495119104,U05TQLV3ZC4,Sure
message,2023-09-28 05:21:25.798469120,U05TQLV3ZC4,I thought we're meeting at 10:30 / 11 AM IST
message,2023-09-28 05:21:46.482639104,U05TG4W1YUF,I can join now !
message,2023-09-28 05:21:50.590629120,USLACKBOT,
message,2023-09-29 06:41:05.652959232,U05TQLV3ZC4,Google Workspace: <mailto:superadmin@kentron.ai|superadmin@kentron.ai> // Nasscom123#
message,2023-10-01 16:21:30.472028928,U05TG4W1YUF,<@U05TQLV3ZC4> are you available for meet?
message,2023-10-01 16:25:37.741049088,U05TQLV3ZC4,Yes - Give me 5 min 
message,2023-10-01 16:35:19.505008896,U05TQLV3ZC4,<@U05TG4W1YUF> - I've joined the call
message,2023-10-01 16:39:44.421709056,U05TQLV3ZC4,<@U05TG4W1YUF> - Let me know when you're available to have a call
message,2023-10-01 16:43:49.351479040,U05TG4W1YUF,joining 
message,2023-10-01 16:44:00.344489216,USLACKBOT,
message,2023-10-01 16:48:11.564249088,U05TQLV3ZC4,<https://slack.com/help/articles/360002079527-A-guide-to-Slacks-Discovery-APIs>
message,2023-10-04 05:34:32.293808896,USLACKBOT,
message,2023-10-06 05:44:19.818469120,U05TQLV3ZC4,<@U05TG4W1YUF> - Do you know any other UI/UX developer?
message,2023-10-06 05:44:58.320308992,U05TG4W1YUF,What happened with tanush?
message,2023-10-06 05:45:16.791439104,U05TG4W1YUF,I know one more guy 
message,2023-10-06 06:03:03.929869056,U05TQLV3ZC4,He is extremely SLOW.
message,2023-10-06 06:03:16.358258944,U05TQLV3ZC4,"If he back out at last minute, we're fucked"
message,2023-10-06 06:05:50.295718912,U05TQLV3ZC4,any updates on architecture?
message,2023-10-06 06:08:44.409858816,U05TG4W1YUF,I will meet with him today and will ask to complete UI within a week. ! And I am working on data right now. On GCP. ! Also updated architecture. Let’s have a long call tomorrow to discuss everything. ! And Screens  are important atm. Dunno want to elongate this more than 2 weeks
message,2023-10-06 06:11:41.621368832,U05TQLV3ZC4,Please share the link of the architecture doc. I'll setup a meeting for us
message,2023-10-06 06:12:26.890338816,U05TG4W1YUF,Okay ! I will share. ! Meeting is already there. I guess check your calendar 
message,2023-10-06 06:13:28.058398976,U05TQLV3ZC4,Let's meet at 10 - 11:30 PM PST
message,2023-10-06 06:13:30.974598912,U05TQLV3ZC4,Thanks Man
message,2023-10-06 06:13:45.623538944,U05TG4W1YUF,Okay 
message,2023-10-07 05:52:53.552609024,U05TQLV3ZC4,
message,2023-10-08 09:07:15.375438848,U05TQLV3ZC4,Hello <@U05TG4W1YUF> - Can you please ask around for any other UI/UX person? Tansu has started the work but I’m not confident he will get the job done 
message,2023-10-08 09:18:37.640338944,USLACKBOT,
message,2023-10-09 05:06:53.651928832,U05TG4W1YUF,Give me some mins
message,2023-10-09 05:06:57.936299008,U05TG4W1YUF,I will be joining soon
message,2023-10-09 05:07:53.219629056,U05TQLV3ZC4,Can you guys be bit proactive informing me? I’ve another call scheduled at 10:30
message,2023-10-09 05:09:31.181458944,U05TG4W1YUF,Yes ! Ofc ! I am trying to set up GCP according to my architecture. ! 
message,2023-10-09 05:09:35.350099200,USLACKBOT,
message,2023-10-11 05:30:52.125108992,U05TG4W1YUF,Do you want to connect?
message,2023-10-11 05:34:00.367368960,U05TQLV3ZC4,I've joined google meet
message,2023-10-13 05:09:26.396478976,U05TG4W1YUF,"Hey Satish ! I will be outside during the meeting time , although I started working on code.. Will let you know once done. ! We can meet tomorrow? Or your morning maybe. "
message,2023-10-13 17:40:23.435548928,U05TG4W1YUF,Any update on Ux/Ui
message,2023-10-13 17:41:08.535368960,U05TG4W1YUF,I recently joined one person in my team for UX/UI. She is very good and experienced in this.
message,2023-10-13 17:47:02.820269056,U05TQLV3ZC4,I’ve hired company this time so they will deliver for sure without any delay. Will share updates on Monday 
message,2023-10-13 17:49:09.749809152,U05TQLV3ZC4,"If you are available today or tomorrow, we can finished database schema "
message,2023-10-13 20:44:26.762168832,U05TG4W1YUF,You hired company just for Ux/Ui?
message,2023-10-13 20:44:42.089768960,U05TG4W1YUF,Yes ! I am available 
message,2023-10-13 21:04:09.405458944,U05TQLV3ZC4,"No, my friend runs small company I’ve contacted him to UI/UX work. Will get job done in same budget. Hoping to see something on Monday."
message,2023-10-13 21:04:28.432188928,U05TQLV3ZC4,<@U05TG4W1YUF> Are you available now? 
message,2023-10-16 05:10:18.230909184,U05TG4W1YUF,Hey Satish ! Please don’t do any harm to Tanush as he is in full time job. And he hasn’t yet charged you anything. I know there is some time loss we faced but this will create bad impact and relationship. He might loose his job.
message,2023-10-16 05:10:27.125339136,U05TG4W1YUF,"And regarding Ux/Ui if you are having problem managing please give it to me directly, I will manage, I will take responsibility"
message,2023-10-16 05:10:53.920759040,U05TQLV3ZC4,On call -
message,2023-10-16 05:11:43.071019008,U05TG4W1YUF,Okayy
message,2023-10-16 05:13:10.504539136,U05TG4W1YUF,Please see my text. Tanush draa huaa h. ! Please don’t do anything that will result in loss of anyone’s job. And let me take responsibility of the things
